ciudad,pais,lat,lon
Saint-Jean,France,43.6653,1.505
Marcilloles,Francia,45.3399,5.18347
Grugliasco,Italy,45.0689,7.5786
Igorre,España,43.16583,-2.776111
Gizycko,Polonia,54.0361354,21.7661326027255
Neuwied,Germany,50.4286,7.4614
Glanon,Francia,47.03994,5.10613
Venette,Francia,49.4162216,2.8007412
Carenas,España,41.27814,-1.797706
Monestier-de-Clermont,Francia,44.9183482,5.6358993
Cherveux,Francia,46.4160953,-0.3568208
Paulx,Francia,46.9626633,-1.7541557
Le Neubourg,Francia,49.1496553,0.9044712
Laurac-en-Vivarais,Francia,44.5091242,4.2908403
Rágama,España,40.99702,-5.127748
Chuzelles,Francia,45.5858,4.87514
Saint-Geniès,Francia,44.9940125,1.2539095
Lancy,Suiza,46.1839156,6.1224047
Courpalay,Francia,48.6496903,2.9612809
Aznalcázar,España,37.30518,-6.248415
Tejado,España,41.58828,-2.267788
Urdiales del Páramo,España,42.37043,-5.773118
Bayerbach b. Ergoldsbach,Alemania,48.711504149999996,12.301566068769091
Culoz,Francia,45.8476517,5.7809063
Alange,España,38.78708,-6.243493
Le Haillan,France,44.8717,-0.6769
Bellmunt del Priorat,España,41.16308,0.7666381
Lempdes-sur-Allagnon,Francia,45.3853961,3.2691547
Tournefeuille,France,43.5853,1.3442
Hemau,Germany,49.0519,11.7828
Baralla,España,42.89286,-7.253127
L'Haÿ-les-Roses,Francia,48.7790514,2.3373021
Kaposvár,Hungary,46.3667,17.7833
Bonete,España,38.8693,-1.348517
Danjoutin,Francia,47.618521,6.8628326
Castilforte,España,40.55718,-2.432781
Plougoumelen,Francia,47.6525123,-2.9175888
Navalagamella,España,40.46916,-4.12338
Marsicovetere,Italia,40.3766014,15.8244926
La Mothe-Achard,Francia,46.6180017,-1.6591947
Chenonceaux,Francia,47.332025,1.0704332
Ameyugo,España,42.65606,-3.061546
Bellvei,España,41.23992,1.577277
Perales de Tajuña,España,40.23453,-3.352198
El Guijo,España,38.495977,-4.7831015
Noyers-Saint-Martin,Francia,49.5520222,2.262525
Banyuls-dels-Aspres,Francia,42.566168,2.8663083
Couflens,Francia,42.7872356,1.1863998
Irissarry,Francia,43.2577981,-1.2299287
Catadau,España,39.27526,-0.5696288
Mende,France,44.5183,3.5006
Yartsevsky district,Rusia,55.222218,32.80253764566007
Chýne,Chequia,50.0606462,14.2272998
Aras,España,42.5625,-2.35474
Geldo,España,39.83671,-0.4669072
Bonne,Alemania,50.735851,7.10066
Saint-Georges-de-Luzençon,Francia,44.063084,2.9855424
La Bassée,France,50.5336,2.8072
Caux-et-Sauzens,Francia,43.22687005,2.258773249997442
Alzey,Germany,49.7517,8.1161
Portimão,Portugal,37.1333,-8.5333
Nagold,Germany,48.5519,8.7256
Lescar,France,43.325,-0.4161
Velilla de Jiloca,España,41.27439,-1.604339
Guadahortuna,España,37.55655,-3.400713
Bussoleno,Italy,45.1411,7.1475
Varennes-sur-Allier,Francia,46.3127469,3.4033756
Aubenas,France,44.6197,4.3903
Saint-Mamert-du-Gard,Francia,43.8881199,4.188639
Eboli,Italy,40.6169,15.0564
Huelves,España,40.04359,-2.883523
Plobannalec-Lesconil,Francia,47.820883949999995,-4.230578491285426
Guadarrama,España,40.67348,-4.090732
Bad Bergzabern,Germany,49.1021,7.993
Caillavet,Francia,43.712321,0.3321888
Peñamellera Alta,España,43.32,-4.71
Santa María de Guía de Gran Canaria,España,28.13915,-15.63284
Duruelo de la Sierra,España,41.95428,-2.932089
Ricote,España,38.15238,-1.367112
Gottolengo,Italy,45.2928,10.2734
Pommard,Francia,47.0087919,4.7962295
Ercé-près-Liffré,Francia,48.2561002,-1.514468
Kaiserslautern,Germany,49.4447,7.7689
Effiat,Francia,46.0408,3.2564
Romont (FR),Suiza,46.698611400000004,6.923026148648532
Tombebœuf,Francia,44.5065535,0.4512701
Villadangos del Páramo,España,42.51751,-5.766411
Amigny-Rouy,Francia,49.6105591,3.3052683
Villasrubias,España,40.3381,-6.640275
Mazières-en-Gâtine,Francia,46.5327178,-0.322791
Bréval,Francia,48.9447453,1.5331842
La Garde,France,43.1256,6.0108
Fameck,France,49.2992,6.1097
Fehmarn,Alemania,54.4687375,11.134084837911693
