DIA,viajeros,Fecha,Total de viajeros
2018-01-03,187,2018,10781572
2018-01-04,208,2018,10781572
2018-01-05,457,2018,10781572
2018-01-06,158,2018,10781572
2018-01-07,534,2018,10781572
2018-01-08,215,2018,10781572
2018-01-09,147,2018,10781572
2018-01-10,115,2018,10781572
2018-01-11,149,2018,10781572
2018-01-12,467,2018,10781572
2018-01-13,206,2018,10781572
2018-01-14,388,2018,10781572
2018-01-15,192,2018,10781572
2018-01-16,106,2018,10781572
2018-01-17,141,2018,10781572
2018-01-18,200,2018,10781572
2018-01-19,672,2018,10781572
2018-01-20,255,2018,10781572
2018-01-21,504,2018,10781572
2018-01-22,222,2018,10781572
2018-01-23,147,2018,10781572
2018-01-24,175,2018,10781572
2018-01-25,207,2018,10781572
2018-01-26,698,2018,10781572
2018-01-27,264,2018,10781572
2018-01-28,526,2018,10781572
2018-01-29,248,2018,10781572
2018-01-30,153,2018,10781572
2018-01-31,138,2018,10781572
2018-02-01,207,2018,10781572
2018-02-02,677,2018,10781572
2018-02-03,217,2018,10781572
2018-02-04,473,2018,10781572
2018-02-05,160,2018,10781572
2018-02-06,90,2018,10781572
2018-02-07,131,2018,10781572
2018-02-08,217,2018,10781572
2018-02-09,765,2018,10781572
2018-02-10,266,2018,10781572
2018-02-11,472,2018,10781572
2018-02-12,227,2018,10781572
2018-02-13,240,2018,10781572
2018-02-14,233,2018,10781572
2018-02-15,255,2018,10781572
2018-02-16,743,2018,10781572
2018-02-17,290,2018,10781572
2018-02-18,624,2018,10781572
2018-02-19,234,2018,10781572
2018-02-20,132,2018,10781572
2018-02-21,122,2018,10781572
2018-02-22,197,2018,10781572
2018-02-23,713,2018,10781572
2018-02-24,246,2018,10781572
2018-02-25,546,2018,10781572
2018-02-26,208,2018,10781572
2018-02-27,117,2018,10781572
2018-02-28,99,2018,10781572
2018-03-01,205,2018,10781572
2018-03-02,749,2018,10781572
2018-03-03,229,2018,10781572
2018-03-04,535,2018,10781572
2018-03-05,201,2018,10781572
2018-03-06,87,2018,10781572
2018-03-07,169,2018,10781572
2018-03-08,372,2018,10781572
2018-03-09,631,2018,10781572
2018-03-10,252,2018,10781572
2018-03-11,602,2018,10781572
2018-03-12,230,2018,10781572
2018-03-13,115,2018,10781572
2018-03-14,173,2018,10781572
2018-03-15,214,2018,10781572
2018-03-16,678,2018,10781572
2018-03-17,241,2018,10781572
2018-03-18,507,2018,10781572
2018-03-19,229,2018,10781572
2018-03-20,121,2018,10781572
2018-03-21,159,2018,10781572
2018-03-22,311,2018,10781572
2018-03-23,733,2018,10781572
2018-03-24,283,2018,10781572
2018-03-25,400,2018,10781572
2018-03-26,240,2018,10781572
2018-03-27,215,2018,10781572
2018-03-28,668,2018,10781572
2018-03-29,454,2018,10781572
2018-03-30,245,2018,10781572
2018-03-31,223,2018,10781572
2018-04-01,705,2018,10781572
2018-04-02,524,2018,10781572
2018-04-03,207,2018,10781572
2018-04-04,146,2018,10781572
2018-04-05,231,2018,10781572
2018-04-06,674,2018,10781572
2018-04-07,253,2018,10781572
2018-04-08,521,2018,10781572
2018-04-09,224,2018,10781572
2018-04-10,117,2018,10781572
2018-04-11,114,2018,10781572
2018-04-12,216,2018,10781572
2018-04-13,733,2018,10781572
2018-04-14,271,2018,10781572
2018-04-15,590,2018,10781572
2018-04-16,244,2018,10781572
2018-04-17,127,2018,10781572
2018-04-18,136,2018,10781572
2018-04-19,236,2018,10781572
2018-04-20,728,2018,10781572
2018-04-21,277,2018,10781572
2018-04-22,528,2018,10781572
2018-04-23,199,2018,10781572
2018-04-24,130,2018,10781572
2018-04-25,136,2018,10781572
2018-04-26,258,2018,10781572
2018-04-27,1386,2018,10781572
2018-04-28,576,2018,10781572
2018-04-29,458,2018,10781572
2018-04-30,390,2018,10781572
2018-05-01,723,2018,10781572
2018-05-02,443,2018,10781572
2018-05-03,226,2018,10781572
2018-05-04,684,2018,10781572
2018-05-05,269,2018,10781572
2018-05-06,610,2018,10781572
2018-05-07,225,2018,10781572
2018-05-08,151,2018,10781572
2018-05-09,130,2018,10781572
2018-05-10,214,2018,10781572
2018-05-11,750,2018,10781572
2018-05-12,302,2018,10781572
2018-05-13,483,2018,10781572
2018-05-14,266,2018,10781572
2018-05-15,274,2018,10781572
2018-05-16,143,2018,10781572
2018-05-17,217,2018,10781572
2018-05-18,660,2018,10781572
2018-05-19,252,2018,10781572
2018-05-20,478,2018,10781572
2018-05-21,292,2018,10781572
2018-05-22,179,2018,10781572
2018-05-23,181,2018,10781572
2018-05-24,191,2018,10781572
2018-05-25,624,2018,10781572
2018-05-26,311,2018,10781572
2018-05-27,501,2018,10781572
2018-05-28,222,2018,10781572
2018-05-29,166,2018,10781572
2018-05-30,324,2018,10781572
2018-05-31,294,2018,10781572
2018-06-01,506,2018,10781572
2018-06-02,236,2018,10781572
2018-06-03,550,2018,10781572
2018-06-04,255,2018,10781572
2018-06-05,170,2018,10781572
2018-06-06,187,2018,10781572
2018-06-07,239,2018,10781572
2018-06-08,724,2018,10781572
2018-06-09,251,2018,10781572
2018-06-10,496,2018,10781572
2018-06-11,264,2018,10781572
2018-06-12,202,2018,10781572
2018-06-13,181,2018,10781572
2018-06-14,263,2018,10781572
2018-06-15,705,2018,10781572
2018-06-16,301,2018,10781572
2018-06-17,533,2018,10781572
2018-06-18,261,2018,10781572
2018-06-19,222,2018,10781572
2018-06-20,218,2018,10781572
2018-06-21,264,2018,10781572
2018-06-22,767,2018,10781572
2018-06-23,326,2018,10781572
2018-06-24,495,2018,10781572
2018-06-25,291,2018,10781572
2018-06-26,200,2018,10781572
2018-06-27,215,2018,10781572
2018-06-28,229,2018,10781572
2018-06-29,632,2018,10781572
2018-06-30,284,2018,10781572
2018-07-01,493,2018,10781572
2018-07-02,242,2018,10781572
2018-07-03,194,2018,10781572
2018-07-04,207,2018,10781572
2018-07-05,226,2018,10781572
2018-07-06,688,2018,10781572
2018-07-07,250,2018,10781572
2018-07-08,561,2018,10781572
2018-07-09,314,2018,10781572
2018-07-10,210,2018,10781572
2018-07-11,257,2018,10781572
2018-07-12,296,2018,10781572
2018-07-13,623,2018,10781572
2018-07-14,290,2018,10781572
2018-07-15,548,2018,10781572
2018-07-16,262,2018,10781572
2018-07-17,167,2018,10781572
2018-07-18,213,2018,10781572
2018-07-19,251,2018,10781572
2018-07-20,638,2018,10781572
2018-07-21,224,2018,10781572
2018-07-22,492,2018,10781572
2018-07-23,272,2018,10781572
2018-07-24,218,2018,10781572
2018-07-25,193,2018,10781572
2018-07-26,211,2018,10781572
2018-07-27,590,2018,10781572
2018-07-28,278,2018,10781572
2018-07-29,493,2018,10781572
2018-07-30,303,2018,10781572
2018-07-31,181,2018,10781572
2018-08-01,216,2018,10781572
2018-08-02,238,2018,10781572
2018-08-03,533,2018,10781572
2018-08-04,229,2018,10781572
2018-08-05,420,2018,10781572
2018-08-06,229,2018,10781572
2018-08-07,141,2018,10781572
2018-08-08,204,2018,10781572
2018-08-09,201,2018,10781572
2018-08-10,538,2018,10781572
2018-08-11,229,2018,10781572
2018-08-12,357,2018,10781572
2018-08-13,249,2018,10781572
2018-08-14,336,2018,10781572
2018-08-15,219,2018,10781572
2018-08-16,212,2018,10781572
2018-08-17,512,2018,10781572
2018-08-18,251,2018,10781572
2018-08-19,497,2018,10781572
2018-08-20,269,2018,10781572
2018-08-21,154,2018,10781572
2018-08-22,196,2018,10781572
2018-08-23,198,2018,10781572
2018-08-24,491,2018,10781572
2018-08-25,236,2018,10781572
2018-08-26,444,2018,10781572
2018-08-27,241,2018,10781572
2018-08-28,159,2018,10781572
2018-08-29,167,2018,10781572
2018-08-30,193,2018,10781572
2018-08-31,553,2018,10781572
2018-09-01,297,2018,10781572
2018-09-02,486,2018,10781572
2018-09-03,277,2018,10781572
2018-09-04,191,2018,10781572
2018-09-05,240,2018,10781572
2018-09-06,249,2018,10781572
2018-09-07,996,2018,10781572
2018-09-08,331,2018,10781572
2018-09-09,746,2018,10781572
2018-09-10,293,2018,10781572
2018-09-11,204,2018,10781572
2018-09-12,247,2018,10781572
2018-09-13,365,2018,10781572
2018-09-14,1019,2018,10781572
2018-09-15,416,2018,10781572
2018-09-16,939,2018,10781572
2018-09-17,292,2018,10781572
2018-09-18,215,2018,10781572
2018-09-19,206,2018,10781572
2018-09-20,324,2018,10781572
2018-09-21,925,2018,10781572
2018-09-22,283,2018,10781572
2018-09-23,699,2018,10781572
